state,population
Uttar Pradesh,199812341
Maharashtra,112374333
Bihar,104099452
West Bengal,91276115
Madhya Pradesh,72626809
Tamil Nadu,72147030
Rajasthan,68548437
Karnataka,61095297
Gujarat,60439692
Andhra Pradesh,84580777
Odisha,41974218
Kerala,33406061
Jharkhand,32988134
Assam,31205576
Punjab,27743338
Chhattisgarh,25545198
Haryana,25351462
Delhi,16787941
Jammu & Kashmir,12541302
Uttarakhand,10086292
Himachal Pradesh,6864602
Tripura,3673917
Meghalaya,2966889
Manipur,2855794
Nagaland,1978502
Goa,1458545
Arunachal Pradesh,1383727
Mizoram,1097206
Sikkim,610577
Puducherry,1247953
Chandigarh,1055450
Andaman & Nicobar Islands,380581
Dadra & Nagar Haveli and Daman & Diu,586956
Lakshadweep,64473
